type,sentence
singular,Look at the [wug].
singular,I spotted the [wug] in the picture.
singular,I noticed the [wug] on the screen.
singular,A picture was taken of the [wug].
singular,I drew the [wug] on the page.
singular,They pointed at the [wug] on the screen.
singular,We looked closely at the [wug].
singular,I circled the [wug] in the image.
singular,Someone highlighted the [wug] in the picture.
singular,I found the [wug] in this image.
singular,We noticed the [wug] right away.
singular,I took a screenshot of the [wug].
singular,They zoomed in on the [wug].
singular,I stared at the [wug] for a while.
singular,I glanced at the [wug] in the photo.
singular,We studied the [wug] closely.
plural,Look at the [wugs].
plural,I spotted the [wugs] in the picture.
plural,I noticed the [wugs] on the screen.
plural,A picture was taken of the [wugs].
plural,I drew the [wugs] on the page.
plural,They pointed at the [wugs] on the screen.
plural,We looked closely at the [wugs].
plural,I circled the [wugs] in the image.
plural,Someone highlighted the [wugs] in the picture.
plural,I found the [wugs] in this image.
plural,We noticed the [wugs] right away.
plural,I took a screenshot of the [wugs].
plural,They zoomed in on the [wugs].
plural,I stared at the [wugs] for a while.
plural,I glanced at the [wugs] in the photo.
plural,We studied the [wugs] closely.
